# Logfile created on 2026-06-08 12:40:19 +0200 by logger.rb/v1.5.3
2026-06-08 12:40:19 +0200: Memory Usage (429536K) : metal3_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429536K) : nwell_drw has 5 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429664K) : nwell_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429664K) : nbulay_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429792K) : nbulay_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429792K) : nbulay_block has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429920K) : emwind_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429920K) : emwind_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (429920K) : deepco_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430048K) : deepco_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430048K) : mim_drw has 1 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430176K) : edgeseal_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430176K) : edgeseal_bound has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430304K) : substrate_drw has 4 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430304K) : substrate_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430432K) : dfpad_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430432K) : dfpad_pillar has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430560K) : dfpad_sbump has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430560K) : thickgateox_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430688K) : pldb_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430688K) : pwell_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430816K) : pwell_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430816K) : pwell_block has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430816K) : ic_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430944K) : via3_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (430944K) : metal4_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431072K) : metal4_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431072K) : metal4_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431200K) : metal4_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431200K) : metal4_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431200K) : metal4_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431200K) : metal4_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431200K) : metal4_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431200K) : metal4_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431328K) : metal4_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431328K) : metal4_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431328K) : metal4_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431456K) : heattrans_drw has 18 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431456K) : heatres_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431584K) : pempoly_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (431584K) : fbe_drw has 0 polygons
